order_id,customer_id,amount,currency,created_at,status
1,14,228.0,JPY,2026-01-13T01:31:13+00:00,completed
2,24,224.15,JPY,2026-01-23T22:58:03+00:00,cancelled
3,163,430.78,EUR,2026-04-01T08:53:52+00:00,completed
4,109,495.07,GBP,2026-03-01T13:49:16+00:00,pending
5,71,156.16,GBP,2026-02-01T00:20:03+00:00,pending
6,12,312.41,GBP,2026-03-20T17:22:42+00:00,pending
7,1,306.77,JPY,2026-04-08T13:54:54+00:00,pending
8,86,371.34,JPY,2026-03-02T09:15:44+00:00,cancelled
9,198,474.06,GBP,2026-01-23T19:11:49+00:00,shipped
10,34,107.86,USD,2026-02-27T06:58:29+00:00,shipped
11,164,109.46,GBP,2026-03-13T08:52:43+00:00,pending
12,68,331.91,USD,2026-04-30T08:21:43+00:00,shipped
13,42,82.74,GBP,2026-02-12T21:13:55+00:00,pending
14,190,91.04,USD,2026-02-12T13:12:47+00:00,pending
15,114,42.16,JPY,2026-01-26T22:28:32+00:00,shipped
16,142,6.32,GBP,2026-04-03T20:29:21+00:00,shipped
17,181,228.0,GBP,2026-01-30T17:53:47+00:00,completed
18,110,298.94,EUR,2026-03-30T08:21:15+00:00,pending
19,144,149.17,GBP,2026-04-28T14:56:53+00:00,shipped
20,3,119.58,USD,2026-03-14T13:13:04+00:00,shipped
21,29,354.94,EUR,2026-03-22T17:58:51+00:00,shipped
22,20,352.98,GBP,2026-04-17T15:37:05+00:00,completed
23,177,229.75,GBP,2026-04-02T10:13:04+00:00,pending
24,39,345.26,JPY,2026-04-15T09:00:50+00:00,pending
25,140,462.34,EUR,2026-02-12T09:52:18+00:00,cancelled
26,10,394.97,USD,2026-02-18T01:16:20+00:00,completed
27,95,314.4,GBP,2026-04-26T16:41:47+00:00,completed
28,150,332.29,JPY,2026-01-16T21:32:35+00:00,pending
29,142,467.17,GBP,2026-04-13T01:02:18+00:00,cancelled
30,38,215.44,EUR,2026-03-28T17:59:47+00:00,cancelled
31,111,274.56,USD,2026-04-13T13:27:54+00:00,pending
32,33,325.58,JPY,2026-03-12T06:02:22+00:00,shipped
33,11,454.66,GBP,2026-01-16T03:59:06+00:00,completed
34,79,414.18,USD,2026-04-20T13:13:00+00:00,cancelled
35,94,40.35,GBP,2026-01-22T18:55:51+00:00,shipped
36,11,87.13,GBP,2026-01-12T23:48:48+00:00,cancelled
37,92,157.27,EUR,2026-04-17T08:13:49+00:00,shipped
38,54,375.73,EUR,2026-04-09T03:44:25+00:00,shipped
39,175,286.76,GBP,2026-02-09T06:07:07+00:00,completed
40,64,147.86,JPY,2026-04-22T04:58:59+00:00,cancelled
41,171,66.56,EUR,2026-04-15T05:01:03+00:00,cancelled
42,27,345.9,EUR,2026-01-30T02:21:45+00:00,shipped
43,91,351.37,EUR,2026-02-01T22:47:55+00:00,pending
44,200,471.62,EUR,2026-03-05T17:08:20+00:00,cancelled
45,144,252.73,USD,2026-04-12T00:58:02+00:00,completed
46,105,249.43,GBP,2026-03-27T19:07:34+00:00,pending
47,159,44.82,USD,2026-01-23T13:43:03+00:00,cancelled
48,192,24.73,USD,2026-02-09T21:14:25+00:00,completed
49,40,218.85,GBP,2026-04-24T05:39:54+00:00,pending
50,61,164.55,EUR,2026-04-05T22:06:12+00:00,cancelled
51,42,128.93,JPY,2026-01-18T15:49:07+00:00,completed
52,46,50.21,EUR,2026-04-10T02:31:17+00:00,pending
53,106,481.15,EUR,2026-03-28T12:05:59+00:00,cancelled
54,7,418.8,EUR,2026-01-11T19:16:53+00:00,pending
55,46,289.72,EUR,2026-03-30T01:08:51+00:00,shipped
56,189,475.64,JPY,2026-01-26T14:54:18+00:00,shipped
57,86,499.79,USD,2026-04-10T15:54:29+00:00,pending
58,106,337.78,JPY,2026-03-22T16:01:07+00:00,shipped
59,172,138.41,GBP,2026-03-30T16:50:06+00:00,shipped
60,189,24.91,EUR,2026-04-20T12:00:59+00:00,pending
61,64,379.35,JPY,2026-01-12T05:04:22+00:00,shipped
62,69,237.9,GBP,2026-04-19T12:11:01+00:00,pending
63,41,327.5,JPY,2026-03-31T18:50:20+00:00,pending
64,180,458.46,EUR,2026-03-01T20:10:27+00:00,shipped
65,28,94.84,EUR,2026-01-05T05:27:27+00:00,cancelled
66,98,294.74,GBP,2026-03-18T21:15:17+00:00,pending
67,10,319.22,JPY,2026-02-19T09:51:23+00:00,pending
68,121,248.4,EUR,2026-01-01T14:03:11+00:00,cancelled
69,57,50.16,GBP,2026-02-12T07:29:37+00:00,shipped
70,52,177.24,JPY,2026-04-23T07:07:33+00:00,completed
71,118,169.99,JPY,2026-01-15T04:20:32+00:00,cancelled
72,90,336.72,GBP,2026-01-09T19:03:56+00:00,completed
73,79,429.58,JPY,2026-03-24T06:34:22+00:00,shipped
74,59,168.25,JPY,2026-03-08T21:37:15+00:00,pending
75,58,348.37,EUR,2026-01-13T09:08:33+00:00,pending
76,7,147.67,EUR,2026-04-16T02:00:16+00:00,shipped
77,169,472.87,EUR,2026-01-12T16:48:41+00:00,shipped
78,50,407.72,GBP,2026-01-14T09:39:09+00:00,shipped
79,103,277.3,USD,2026-04-02T16:00:40+00:00,shipped
80,85,230.14,JPY,2026-01-07T03:53:42+00:00,shipped
81,72,160.69,GBP,2026-02-25T17:56:22+00:00,shipped
82,18,165.02,USD,2026-03-21T09:27:28+00:00,shipped
83,198,485.24,USD,2026-02-04T22:46:25+00:00,pending
84,72,205.07,GBP,2026-01-27T07:08:39+00:00,completed
85,90,259.73,USD,2026-03-23T15:01:43+00:00,completed
86,165,494.12,EUR,2026-03-14T17:06:51+00:00,pending
87,131,330.54,GBP,2026-03-16T06:29:03+00:00,cancelled
88,103,273.58,JPY,2026-03-29T02:20:04+00:00,completed
89,174,209.56,EUR,2026-03-15T07:15:37+00:00,cancelled
90,138,97.85,JPY,2026-03-14T22:38:06+00:00,pending
91,85,184.08,USD,2026-01-16T13:59:31+00:00,cancelled
92,8,379.44,EUR,2026-04-15T17:19:17+00:00,pending
93,30,314.58,JPY,2026-01-26T19:46:38+00:00,shipped
94,67,381.2,GBP,2026-03-09T12:43:30+00:00,shipped
95,46,105.76,USD,2026-01-24T00:52:14+00:00,completed
96,149,276.86,JPY,2026-02-04T15:44:50+00:00,completed
97,68,464.2,USD,2026-04-15T07:48:21+00:00,cancelled
